8/6 19:45:55.732  SPELL_AURA_APPLIED,0x0000000000002CE5,"Virginity",0x528,0xF1300CD16800006A,"Arcane Orb",0x1112,853648,"Swift Retribution",0x8,BUFF
8/6 19:45:55.732  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0xF1300CD16800006A,"Arcane Orb",0x1112,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:55.832  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0x00000000000058E4,"Elric",0x511,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:55.832  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0xF13000ABF600003B,"Lootbot 3000",0x1111,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:55.832  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300CD16800006A,"Arcane Orb",0x1112,10293,"Devotion Aura",0x2,BUFF
8/6 19:45:56.129  SPELL_DAMAGE,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,274600,"Gunslingers Barrage",0x1,137,0,1,0,0,0,nil,nil,nil
8/6 19:45:56.433  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA00000C,"Scarlet Defender",0xa48,86359,"Heroic Leap",0x1,541,0,1,0,0,0,1,nil,nil
8/6 19:45:56.433  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA00000C,"Scarlet Defender",0xa48,25504,"Windfury Attack",0x1,232,0,1,0,0,0,nil,nil,nil
8/6 19:45:56.433  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA00000C,"Scarlet Defender",0xa48,25504,"Windfury Attack",0x1,194,0,1,0,0,0,nil,nil,nil
8/6 19:45:56.433  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010C700000B,"Scarlet Myrmidon",0xa48,86359,"Heroic Leap",0x1,302,0,1,0,0,0,nil,nil,nil
8/6 19:45:56.433  SPELL_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010C700000A,"Scarlet Myrmidon",0xa48,86359,"Heroic Leap",0x1,302,0,1,0,0,0,nil,nil,nil
8/6 19:45:56.433  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0x0000000000011FEC,"Artichoke",0x512,285750,"Cloaked in Wind",0x1,BUFF
8/6 19:45:56.433  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA00000C,"Scarlet Defender",0xa48,86359,"Heroic Leap",0x1,DEBUFF
8/6 19:45:56.433  SPELL_AURA_APPLIED,0xF1300010CA00000C,"Scarlet Defender",0xa48,0xF1300010CA00000C,"Scarlet Defender",0xa48,2101702,"Defensive Stance",0x1,BUFF
8/6 19:45:56.433  SPELL_CAST_START,0xF1300010CA00000C,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2101729,"Devastate",0x1
8/6 19:45:56.433  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010C700000B,"Scarlet Myrmidon",0xa48,86359,"Heroic Leap",0x1,DEBUFF
8/6 19:45:56.433  SPELL_CAST_START,0xF1300010C700000B,"Scarlet Myrmidon",0xa48,0x0000000000000000,nil,0x80000000,2101716,"Cleave",0x1
8/6 19:45:56.433  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010C700000A,"Scarlet Myrmidon",0xa48,86359,"Heroic Leap",0x1,DEBUFF
8/6 19:45:56.433  SPELL_CAST_START,0xF1300010C700000A,"Scarlet Myrmidon",0xa48,0x0000000000000000,nil,0x80000000,2101716,"Cleave",0x1
8/6 19:45:56.730  SPELL_CAST_START,0xF1300010CC000014,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:56.730  SPELL_CAST_START,0xF1300010CC000013,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:56.832  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0xF1300CD16800006A,"Arcane Orb",0x1112,10293,"Devotion Aura",0x2,BUFF
